epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6041666865348816,0.5056722164154053,0.6653719544410706,0.6842105388641357,0.4923076927661896,0.6248610615730286
1,0.6388888955116272,0.47382810711860657,0.6520459651947021,0.6842105388641357,0.4923076927661896,0.6242774128913879
2,0.6041666865348816,0.4792659878730774,0.6769240498542786,0.6631578803062439,0.5297619104385376,0.6411361694335938
3,0.6770833134651184,0.44863635301589966,0.6518223285675049,0.6526315808296204,0.526392936706543,0.6485949158668518
4,0.6666666865348816,0.4536898136138916,0.6398347020149231,0.6000000238418579,0.4699907600879669,0.6864384412765503
5,0.6631944179534912,0.5193413496017456,0.6400889158248901,0.6526315808296204,0.498533695936203,0.6464556455612183
6,0.6805555820465088,0.4632043242454529,0.6414264440536499,0.6947368383407593,0.5397074222564697,0.6180870532989502
7,0.6736111044883728,0.5620943307876587,0.6283871531486511,0.6315789222717285,0.4754762053489685,0.6589490175247192
8,0.6527777910232544,0.45943760871887207,0.6561939120292664,0.6631578803062439,0.5218254327774048,0.6400341391563416
9,0.6736111044883728,0.49271640181541443,0.6289474964141846,0.6526315808296204,0.5058650970458984,0.6472713947296143
10,0.6631944179534912,0.5262067317962646,0.6396622657775879,0.6526315808296204,0.5652492642402649,0.6486353278160095
11,0.6875,0.4023011326789856,0.6450082659721375,0.6736842393875122,0.5798891186714172,0.6433956027030945
12,0.6736111044883728,0.49933451414108276,0.6356930732727051,0.6842105388641357,0.4287179708480835,0.6451313495635986
13,0.6909722089767456,0.46756452322006226,0.6355311870574951,0.6736842393875122,0.5345262289047241,0.6511960625648499
14,0.6597222089767456,0.532958984375,0.6366388201713562,0.6842105388641357,0.5607692003250122,0.6503154635429382
15,0.6875,0.508506715297699,0.6302579641342163,0.6526315808296204,0.4467253088951111,0.6606044769287109
16,0.6805555820465088,0.5034792423248291,0.6310588121414185,0.6526315808296204,0.5029325485229492,0.6598228812217712
17,0.6701388955116272,0.5186444520950317,0.6333653926849365,0.6631578803062439,0.5401785969734192,0.6538125872612
18,0.6736111044883728,0.5705208778381348,0.6247237324714661,0.6421052813529968,0.4872227609157562,0.6597326993942261
19,0.6805555820465088,0.5106621980667114,0.631193995475769,0.6736842393875122,0.5309979915618896,0.64389568567276
